chart_id	chart_title	organism	process_name	circuitClass	circuitClassName	circuitClassRationale	description	scientificAccuracy	notes	verified	verifiedBy	provenance_category	logicGates	complexity_logicGates	logic_gate_counts_agree	mermaid	topology_loops	class_topology_mismatch	mismatch_note	citation_count	has_source_notes
human_p53_mdm2	p53–MDM2 DNA-Damage Response Oscillator	Homo sapiens	p53–MDM2 DNA-Damage Response Oscillator	IV	Delayed negative feedback (oscillator)	p53 transcriptionally induces MDM2, and MDM2 ubiquitinates p53 for degradation — a delayed negative-feedback loop that produces a train of p53 pulses after DNA damage (Lahav et al. 2004). Delayed negative feedback with oscillation is Class IV.	The core DNA-damage response loop: DNA damage activates ATM/ATR, which stabilizes p53; p53 induces its own negative regulator MDM2, which targets p53 for degradation. The transcription-degradation delay turns this negative-feedback loop into an oscillator — repeated p53 pulses whose number tunes the cell-fate outcome.	p53→MDM2→p53 negative feedback and damage-induced p53 pulses are directly measured at the single-cell level (Lahav et al. 2004; Batchelor et al. 2011).	Human Class IV oscillator. One delayed repression (NOT) closes the negative-feedback loop driving p53 pulses.	True	Curated from primary human regulatory-biology literature	human_curated	"{""and"": 0, ""not"": 1, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[DNA damage]
    B[ATM / ATR active]
    C[p53 stabilized]
    D[Target transcription: p21, PUMA]
    E[MDM2 expressed]
    F[/MDM2 ubiquitinates p53/]
    G(p53 pulses: arrest or apoptosis)

    A --> B
    B --> C
    C --> D
    C --> E
    E --> F
    F -->|⊣ delayed| C
    D --> G

    style A fill:#ff6b6b,color:#fff
    style B fill:#51cf66,color:#fff
    style C fill:#ffd43b,color:#000
    style D fill:#51cf66,color:#fff
    style E fill:#ffd43b,color:#000
    style F fill:#51cf66,color:#fff
    style G fill:#b197fc,color:#fff"	3	false		2	false
human_pd1_pdl1_checkpoint	PD-1/PD-L1 Immune Checkpoint	Homo sapiens	PD-1/PD-L1 Immune Checkpoint	II	Negative feedback (homeostatic)	T-cell activation and IFN-γ induce PD-L1 on target cells; PD-L1 engages PD-1, recruiting SHP-2 to dephosphorylate TCR-proximal signaling — a negative-feedback loop that dampens the response (and is hijacked by tumors). Class II.	The adaptive immune brake exploited in cancer. Activated T cells secrete IFN-γ, which induces PD-L1 on tumor/antigen-presenting cells; PD-L1 binding PD-1 recruits the SHP-2 phosphatase that dephosphorylates TCR signaling components, feeding back to suppress T-cell activation. Checkpoint-blockade antibodies cut this negative loop.	IFN-γ-induced PD-L1 and PD-1/SHP-2 inhibition of TCR signaling are established (Sharpe & Pauken 2018).	Human Class II inhibitory feedback (immune checkpoint); target of checkpoint-blockade therapy.	True	Curated from primary human regulatory-biology literature	human_curated	"{""and"": 0, ""not"": 2, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[T-cell activation: TCR + IFN-γ]
    B[Target cell induces PD-L1]
    C[PD-L1 engages PD-1]
    D[/SHP-2 dephosphorylates TCR signaling/]
    E[/Dampens T-cell activation/]
    F(T-cell tolerance / exhaustion)

    A --> B
    B --> C
    C --> D
    D --> E
    E -->|⊣ feedback| A
    D --> F

    style A fill:#ff6b6b,color:#fff
    style B fill:#ffd43b,color:#000
    style C fill:#51cf66,color:#fff
    style D fill:#51cf66,color:#fff
    style E fill:#51cf66,color:#fff
    style F fill:#b197fc,color:#fff"	5	false		1	false
human_perk_atf4_isr	PERK–ATF4 Integrated Stress Response	Homo sapiens	PERK–ATF4 Integrated Stress Response	II	Negative feedback (homeostatic)	Stress activates PERK to phosphorylate eIF2α, halting bulk translation while inducing ATF4; ATF4 drives GADD34, which dephosphorylates eIF2α to restore translation — a negative-feedback homeostat that adapts to stress. Class II.	A branch of the integrated stress response. ER or other stress activates the kinase PERK, which phosphorylates eIF2α to suppress global translation while selectively translating ATF4. ATF4 induces GADD34 (PP1 targeting subunit) that dephosphorylates eIF2α, restoring translation — negative feedback that resolves the stress program.	PERK-eIF2α-ATF4-GADD34 negative feedback in the ISR is established (Harding et al. 2003; Walter & Ron 2011).	Human Class II translational homeostat (ISR): ATF4-GADD34 feedback restores eIF2α/translation.	True	Curated from primary human regulatory-biology literature	human_curated	"{""and"": 0, ""not"": 1, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[Stress: ER / amino-acid / heme]
    B[PERK phosphorylates eIF2α]
    C[Bulk translation down; ATF4 up]
    D[ATF4 induces GADD34]
    E[/GADD34 dephosphorylates eIF2α/]
    F(Translation restored, adapted)

    A --> B
    B --> C
    C --> D
    D --> E
    E -->|⊣ feedback| B
    C --> F

    style A fill:#ff6b6b,color:#fff
    style B fill:#51cf66,color:#fff
    style C fill:#ffd43b,color:#000
    style D fill:#51cf66,color:#fff
    style E fill:#51cf66,color:#fff
    style F fill:#b197fc,color:#fff"	4	false		1	false
human_pten_pi3k_akt	PTEN–PI3K–AKT Tumor-Suppressor Homeostat	Homo sapiens	PTEN–PI3K–AKT Tumor-Suppressor Homeostat	II	Negative feedback (homeostatic)	PI3K produces PIP3 to activate AKT; the tumor suppressor PTEN dephosphorylates PIP3, opposing the pathway, and downstream feedback regulates PTEN — a negative-feedback set-point for growth/survival signaling. Class II.	The PI3K-AKT growth/survival axis is held in check by PTEN. Growth-factor-activated PI3K makes PIP3, recruiting and activating AKT; PTEN hydrolyzes PIP3 back to PIP2, directly opposing PI3K. Downstream signaling feeds back on PTEN level/activity, setting a homeostatic balance whose loss (PTEN mutation) drives cancer.	PTEN antagonism of PI3K-AKT and its tumor-suppressor feedback role are established (Song, Salmena & Pandolfi 2012).	Human Class II homeostat: PTEN opposes PI3K-AKT with downstream feedback on PTEN.	True	Curated from primary human regulatory-biology literature	human_curated	"{""and"": 0, ""not"": 1, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[Growth factor: PI3K active]
    B[PIP3]
    C[/PTEN dephosphorylates PIP3/]
    D[AKT activated]
    E[Survival / growth targets]
    F[/Feedback regulates PTEN/]
    G(Tumor-suppressive set-point)

    A --> B
    B --> D
    C -->|⊣| B
    D --> E
    E --> F
    F -->|+ feedback| C
    D --> G

    style A fill:#ff6b6b,color:#fff
    style B fill:#74c0fc,color:#fff
    style C fill:#51cf66,color:#fff
    style D fill:#ffd43b,color:#000
    style E fill:#51cf66,color:#fff
    style F fill:#51cf66,color:#fff
    style G fill:#b197fc,color:#fff"	5	false		1	false
human_rb_e2f_restriction_point	Rb–E2F Restriction-Point Switch	Homo sapiens	Rb–E2F Restriction-Point Switch	III	Bistable switch / positive feedback	Mitogen-driven CDK phosphorylation inactivates Rb, releasing E2F; E2F drives Cyclin E, which further inactivates Rb (positive feedback through a double-negative), making the G1/S restriction point a bistable, irreversible commitment (Yao et al. 2008).	The mammalian restriction point. Mitogens activate Cyclin D-CDK4/6 to phosphorylate (inactivate) Rb, freeing E2F; E2F induces Cyclin E-CDK2 which hyperphosphorylates Rb, a positive-feedback loop that converts graded mitogen input into an all-or-none, memory-bearing commitment to S phase.	Bistability of the Rb-E2F switch was demonstrated quantitatively at the single-cell level (Yao, Lee, Nevins & You 2008).	Human Class IIIa bistable switch; positive feedback realized through a double-negative (Rb ⊣ E2F ; CycE ⊣ Rb).	True	Curated from primary human regulatory-biology literature	human_curated	"{""and"": 0, ""not"": 3, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[Mitogen: Cyclin D-CDK4/6]
    B[Rb]
    C[E2F]
    D[/Rb represses E2F/]
    E[\E2F drives Cyclin E, inactivates Rb/]
    F(Restriction point passed: S phase)

    A -->|⊣ phosphorylate| B
    B --> D
    D -->|⊣| C
    C --> E
    E -->|⊣ feedback| B
    C --> F

    style A fill:#ff6b6b,color:#fff
    style B fill:#ffd43b,color:#000
    style C fill:#ffd43b,color:#000
    style D fill:#51cf66,color:#fff
    style E fill:#51cf66,color:#fff
    style F fill:#b197fc,color:#fff"	4	false		1	false
human_rig_i_mavs_antiviral	RIG-I/MAVS Antiviral Switch	Homo sapiens	RIG-I/MAVS Antiviral Switch	III	Bistable switch / positive feedback	Viral RNA activates RIG-I, which nucleates MAVS into self-propagating prion-like filaments that amplify IRF3/NF-κB signaling; the cooperative filament assembly plus type-I-IFN feed-forward gives a sharp, all-or-none antiviral commitment. Class III switch.	Cytosolic sensing of viral RNA. RIG-I binds short 5'-triphosphate dsRNA and oligomerizes on the adaptor MAVS, which forms self-templating aggregates on mitochondria; this digital amplification drives IRF3 and NF-κB to induce type-I interferon, converting a few sensed RNA molecules into a switch-like antiviral state.	Prion-like MAVS filament amplification and switch-like IFN induction are established (Hou et al. 2011; Seth et al. 2005).	Human Class III antiviral switch — expanded with TBK1, IRF3 dimerization, and enhanceosome AND gate.	True	Curated from primary human regulatory-biology literature	human_curated	"{""and"": 1, ""not"": 0, ""or"": 0}"	"{""andGates"": 1, ""orGates"": 0, ""total"": 1}"	true	"graph TD
    A[Viral 5'-ppp dsRNA]
    B[RIG-I CARD exposed]
    C[MAVS filaments on mitochondria]
    D[TBK1 / IKKε recruited]
    E[IRF3 phosphorylated + dimer]
    F{IRF3 AND NF-κB enhanceosome?}
    G[IFN-β transcribed]
    H[\MAVS filament self-amplification/]
    I(All-or-none antiviral state)

    A --> B
    B --> C
    C --> D
    D --> E
    E --> F
    F -->|Yes| G
    C --> H
    H -->|+| C
    G --> I

    style A fill:#ff6b6b,color:#fff
    style B fill:#ffd43b,color:#000
    style C fill:#51cf66,color:#fff
    style D fill:#51cf66,color:#fff
    style E fill:#ffd43b,color:#000
    style F fill:#74c0fc,color:#fff
    style G fill:#51cf66,color:#fff
    style H fill:#51cf66,color:#fff
    style I fill:#b197fc,color:#fff"	2	false		2	false
human_scl_tal1_hematopoietic_switch	SCL/TAL1 Hematopoietic Master Switch	Homo sapiens	SCL/TAL1 Hematopoietic Master Switch	III	Bistable switch / positive feedback	SCL/TAL1 (encoded by TAL1) autoactivates its own enhancer and nucleates a hematopoietic transcription-factor network; once above threshold the self-reinforcing loop locks in the blood-lineage program — a persistent Class IIIa bistable master switch upstream of GATA1/PU.1.	The hematopoietic master regulator. SCL/TAL1 binds its own regulatory elements and cooperates with LMO2 and GATA factors to sustain its expression. The positive autoregulation plus cooperative assembly gives a switch-like commitment to the blood lineage, making SCL/TAL1 one of the earliest persistent fate locks in hematopoiesis.	SCL/TAL1 autoregulation and master-regulator role in hematopoietic commitment are established (Porcher et al. 1996; Lacombe et al. 2010).	Human Class IIIa SCL/TAL1 switch — expanded with LMO2/E2A complex and GATA2 cooperation.	True	Curated from primary human regulatory-biology literature	human_curated	"{""and"": 0, ""not"": 0, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[Hemogenic mesoderm]
    B[Notch/RBPJ signal]
    C[SCL/TAL1 + LMO2 + E2A]
    D[\TAL1 autoactivation/]
    E[GATA2 cooperative binding]
    F[Hematopoietic TF network]
    G(Committed hematopoietic progenitor)

    A --> C
    B --> C
    C --> D
    D -->|+| C
    C --> E
    E --> F
    F --> G

    style A fill:#ff6b6b,color:#fff
    style B fill:#ff6b6b,color:#fff
    style C fill:#ffd43b,color:#000
    style D fill:#51cf66,color:#fff
    style E fill:#51cf66,color:#fff
    style F fill:#51cf66,color:#fff
    style G fill:#b197fc,color:#fff"	2	false		2	false
human_shh_gli	Sonic Hedgehog–GLI Morphogen Pathway	Homo sapiens	Sonic Hedgehog–GLI Morphogen Pathway	II	Negative feedback (homeostatic)	SHH relieves PTCH1 inhibition of SMO, activating GLI; GLI induces PTCH1, which re-inhibits the pathway — a negative-feedback loop shaping the morphogen response. Class II (with a GLI activator/repressor gradient readout).	Hedgehog signaling patterns tissues as a morphogen. Without SHH, PTCH1 inhibits SMO and GLI is processed to a repressor; SHH binding PTCH1 releases SMO, so GLI activator drives targets including PTCH1 itself — a negative-feedback loop that sharpens and limits the graded response.	PTCH1-mediated negative feedback and GLI activator/repressor gradients are established (Briscoe & Thérond 2013).	Human Class II morphogen pathway with PTCH1 negative feedback.	True	Curated from primary human regulatory-biology literature	human_curated	"{""and"": 0, ""not"": 1, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[Sonic hedgehog ligand]
    B{SHH present?}
    C[PTCH1 inhibits SMO]
    D[GLI3 repressor form]
    E[SMO active]
    F[GLI activator]
    G[Targets: GLI1, PTCH1]
    H[/PTCH1 feedback inhibits SMO/]
    I(Morphogen-graded output)

    A --> B
    B -->|No| C
    C --> D
    B -->|Yes| E
    E --> F
    F --> G
    G --> I
    G --> H
    H -->|⊣ feedback| E

    style A fill:#ff6b6b,color:#fff
    style B fill:#74c0fc,color:#fff
    style C fill:#51cf66,color:#fff
    style D fill:#ffd43b,color:#000
    style E fill:#51cf66,color:#fff
    style F fill:#ffd43b,color:#000
    style G fill:#51cf66,color:#fff
    style H fill:#51cf66,color:#fff
    style I fill:#b197fc,color:#fff"	4	false		1	false
human_snail_mir34_emt	SNAIL/miR-34 EMT Switch	Homo sapiens	SNAIL/miR-34 EMT Switch	III	Bistable switch / positive feedback	SNAIL and miR-34 repress each other (and SNAIL represses E-cadherin); the double-negative loop is bistable and, coupled to ZEB/miR-200, forms the cascade of switches that times EMT (Siemens et al. 2011). Class III.	A second, upstream EMT switch. SNAIL represses miR-34, and miR-34 (a p53 target) represses SNAIL; SNAIL also represses E-cadherin to drive the mesenchymal program. The double-negative feedback is bistable and feeds the ZEB/miR-200 switch, giving EMT its staged, hysteretic dynamics.	SNAIL/miR-34 double-negative feedback and its EMT-switch role are established (Siemens et al. 2011; Kim et al. 2011).	Human Class III EMT switch (SNAIL/miR-34 double-negative); upstream partner of ZEB/miR-200.	True	Curated from primary human regulatory-biology literature	human_curated	"{""and"": 0, ""not"": 3, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[EMT trigger: TGF-β / p53 loss]
    B[SNAIL]
    C[miR-34]
    D[/SNAIL represses miR-34/]
    E[/miR-34 represses SNAIL/]
    F[/SNAIL represses E-cadherin/]
    G(EMT commitment)

    A --> B
    B --> D
    D -->|⊣| C
    C --> E
    E -->|⊣| B
    B --> F
    F --> G
    B --> G

    style A fill:#ff6b6b,color:#fff
    style B fill:#ffd43b,color:#000
    style C fill:#ffd43b,color:#000
    style D fill:#51cf66,color:#fff
    style E fill:#51cf66,color:#fff
    style F fill:#51cf66,color:#fff
    style G fill:#b197fc,color:#fff"	4	false		1	false
human_tbet_gata3_th1_th2	T-bet–GATA3 Th1/Th2 Lineage Switch	Homo sapiens	T-bet–GATA3 Th1/Th2 Lineage Switch	III	Bistable switch / positive feedback	T-bet and GATA3 cross-antagonize while each autoactivates, the same double-positive/double-negative topology as GATA1/PU.1 — a persistent (IIIa) bistable switch between Th1 and Th2 helper-T fates.	Naive CD4 T cells choose between Th1 and Th2 fates via the master regulators T-bet and GATA3, which repress each other and amplify themselves. The mutual-repression-plus-autoactivation circuit is bistable, committing the cell to IFN-γ (Th1) or IL-4 (Th2) programs.	T-bet/GATA3 cross-regulation and autoactivation underpinning bistable Th1/Th2 commitment are established (Szabo et al. 2000; Höfer et al. 2002).	Human Class IIIa immune toggle: 2 cross-repressions + 2 autoactivations.	True	Curated from primary human regulatory-biology literature	human_curated	"{""and"": 0, ""not"": 2, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[Naive CD4 T cell + cytokines]
    B[T-bet]
    C[GATA3]
    D[\T-bet autoactivation/]
    E[\GATA3 autoactivation/]
    F[/T-bet represses GATA3/]
    G[/GATA3 represses T-bet/]
    H(Th1 fate: IFN-gamma)
    I(Th2 fate: IL-4)

    A --> B
    A --> C
    B --> D
    D -->|+| B
    C --> E
    E -->|+| C
    B --> F
    F -->|⊣| C
    C --> G
    G -->|⊣| B
    B --> H
    C --> I

    style A fill:#ff6b6b,color:#fff
    style B fill:#ffd43b,color:#000
    style C fill:#ffd43b,color:#000
    style D fill:#51cf66,color:#fff
    style E fill:#51cf66,color:#fff
    style F fill:#51cf66,color:#fff
    style G fill:#51cf66,color:#fff
    style H fill:#b197fc,color:#fff
    style I fill:#b197fc,color:#fff"	6	false		1	false
human_tgfbeta_smad	TGF-β–SMAD Signaling with SMAD7 Feedback	Homo sapiens	TGF-β–SMAD Signaling with SMAD7 Feedback	II	Negative feedback (homeostatic)	TGF-β activates SMAD2/3, which with SMAD4 enter the nucleus and induce targets including the inhibitory SMAD7, which blocks the receptor — a negative-feedback loop that limits and adapts the response. Class II.	TGF-β receptors phosphorylate SMAD2/3, which partner with SMAD4 to drive transcription. Among the targets is inhibitory SMAD7, which binds the receptor and blocks further signaling — a negative-feedback loop giving adaptive, context-dependent TGF-β responses.	SMAD signaling and SMAD7 negative feedback are established (Massagué 2012).	Human Class II signaling with SMAD7 negative feedback.	True	Curated from primary human regulatory-biology literature	human_curated	"{""and"": 0, ""not"": 1, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[TGF-β ligand]
    B[TGF-β receptor active]
    C[SMAD2/3 phosphorylated]
    D[SMAD complex + SMAD4 nuclear]
    E[Target transcription]
    F[SMAD7 induced]
    G[/SMAD7 inhibits receptor/]
    H(Adaptive context-dependent response)

    A --> B
    B --> C
    C --> D
    D --> E
    E --> H
    D --> F
    F --> G
    G -->|⊣ feedback| B

    style A fill:#ff6b6b,color:#fff
    style B fill:#51cf66,color:#fff
    style C fill:#ffd43b,color:#000
    style D fill:#51cf66,color:#fff
    style E fill:#51cf66,color:#fff
    style F fill:#ffd43b,color:#000
    style G fill:#51cf66,color:#fff
    style H fill:#b197fc,color:#fff"	5	false		1	false
human_tlr4_lps_amplification	TLR4/LPS Inflammatory Amplifier	Homo sapiens	TLR4/LPS Inflammatory Amplifier	III	Bistable switch / positive feedback	LPS binding to TLR4 triggers NF-κB and AP-1, which induce pro-inflammatory cytokines (TNF, IL-1) that further amplify TLR-adaptor signaling and NF-κB — a positive-feedback inflammatory switch that can lock into a high-cytokine state. Class III.	The innate inflammatory amplifier. Lipopolysaccharide engages TLR4/MyD88, activating NF-κB and MAPK pathways. Induced cytokines and secondary signals feed back to sustain adaptor phosphorylation and NF-κB nuclear accumulation, producing a switch-like inflammatory response distinct from the NF-κB/IκB oscillator already in the collection.	TLR4-driven NF-κB amplification and switch-like cytokine induction are established (Covert et al. 2005; Werner et al. 2005).	Human Class III inflammatory amplifier — expanded with IκBα, adaptor complex, and cytokine feedback arm.	True	Curated from primary human regulatory-biology literature	human_curated	"{""and"": 0, ""not"": 1, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[LPS + CD14]
    B[TLR4–MD2 receptor]
    C[MyD88 / TRAF6 / IRAK]
    D[/IκBα degraded/]
    E[NF-κB p65 nuclear]
    F[TNF-α + IL-1β + IL-6]
    G[\Cytokines amplify adaptor signaling/]
    H[MAPK → AP-1 arm]
    I(High inflammatory state)

    A --> B
    B --> C
    C --> D
    D --> E
    C --> H
    E --> F
    F --> G
    G -->|+ amplify| C
    E --> I
    F --> I

    style A fill:#ff6b6b,color:#fff
    style B fill:#ffd43b,color:#000
    style C fill:#51cf66,color:#fff
    style D fill:#51cf66,color:#fff
    style E fill:#ffd43b,color:#000
    style F fill:#51cf66,color:#fff
    style G fill:#51cf66,color:#fff
    style H fill:#51cf66,color:#fff
    style I fill:#b197fc,color:#fff"	5	false		2	false
human_tnf_survival_death_decision	TNF Survival-vs-Death Decision Switch	Homo sapiens	TNF Survival-vs-Death Decision Switch	III	Bistable switch / positive feedback	TNF engages a complex that both activates pro-survival NF-κB (complex I) and, if NF-κB-induced survival genes are insufficient, assembles a death complex (complex II) driving apoptosis/necroptosis; the competition between the two arms is a life-or-death decision. QA note: current Mermaid topology has loops=0 despite Class III assignment; verify whether this should be drawn with a stabilizing feedback edge or reclassified as a threshold decision without positive feedback.	One ligand, two fates. TNF binding first nucleates complex I that activates NF-κB and pro-survival genes (cFLIP, cIAPs); if NF-κB output is too low or delayed, the receptor complex converts to the cytosolic death-inducing complex II that triggers caspase-8 apoptosis or RIPK3/MLKL necroptosis. The opposing arms make the outcome a switch-like decision.	The NF-κB-survival vs complex-II-death checkpoint downstream of TNF is established (Micheau & Tschopp 2003).	Human Class III life-or-death decision: NF-κB survival arm vs complex-II death arm downstream of TNF.	True	Curated from primary human regulatory-biology literature	human_curated	"{""and"": 0, ""not"": 1, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[TNF binds TNFR1]
    B[Complex I: NF-κB survival]
    C{survival genes sufficient?}
    D[Pro-survival cFLIP/cIAP]
    E[Complex II: caspase-8 / RIPK3]
    F(Survival)
    G(Apoptosis / necroptosis)

    A --> B
    B --> C
    C -->|Yes| D
    D --> F
    D -->|⊣| E
    C -->|No| E
    E --> G

    style A fill:#ff6b6b,color:#fff
    style B fill:#51cf66,color:#fff
    style C fill:#74c0fc,color:#fff
    style D fill:#51cf66,color:#fff
    style E fill:#51cf66,color:#fff
    style F fill:#b197fc,color:#fff
    style G fill:#b197fc,color:#fff"	0	true	. QA note: current Mermaid topology has loops=0 despite Class III assignment; verify whether this should be drawn with a sta	1	false
human_vhl_hif_oxygen_sensing	VHL–HIF Oxygen-Sensing Homeostat	Homo sapiens	VHL–HIF Oxygen-Sensing Homeostat	II	Negative feedback (homeostatic)	In normoxia PHD enzymes hydroxylate HIF-1α, flagging it for VHL-mediated degradation; hypoxia stabilizes HIF-1α, which induces PHD2/PHD3 — a negative-feedback loop that restores oxygen homeostasis. Switch-like in O2 but homeostatic in topology — Class II.	The cellular oxygen sensor. Under normoxia, prolyl hydroxylases (PHDs) modify HIF-1α so the VHL E3 ligase destroys it. Under hypoxia HIF-1α is stabilized, dimerizes with HIF-1β, and activates hypoxia-response genes (VEGF, EPO, glycolytic enzymes) — including PHD2/PHD3, which feed back negatively to re-tune the set-point.	PHD-dependent hydroxylation, VHL-mediated degradation, and HIF-induced PHD2/PHD3 negative feedback are established (Kaelin & Ratcliffe 2008, Nobel-recognized oxygen-sensing pathway).	Human Class II homeostat. Switch-like O2 response with HIF-induced PHD negative feedback (one feedback edge).	True	Curated from primary human regulatory-biology literature	human_curated	"{""and"": 0, ""not"": 1, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[O2 / 2-oxoglutarate]
    B{Normoxia?}
    C[PHD hydroxylates HIF-1α]
    D[VHL E3 ubiquitin ligase]
    E[\HIF-1α degraded/]
    F[HIF-1α stabilized]
    G[HIF-1α/HIF-1β + HRE]
    H(VEGF, EPO, glycolysis)
    I[/Induces PHD2 / PHD3/]

    A --> B
    B -->|Yes| C
    C --> D
    D --> E
    B -->|No: hypoxia| F
    F --> G
    G --> H
    G --> I
    I -->|⊣ feedback| C

    style A fill:#ff6b6b,color:#fff
    style B fill:#74c0fc,color:#fff
    style C fill:#51cf66,color:#fff
    style D fill:#ffd43b,color:#000
    style E fill:#51cf66,color:#fff
    style F fill:#ffd43b,color:#000
    style G fill:#51cf66,color:#fff
    style H fill:#b197fc,color:#fff
    style I fill:#51cf66,color:#fff"	0	true	α, which induces PHD2/PHD3 — a negative-feedback loop that restores oxygen homeostasis. Switch-like in O2 but homeostatic in top	1	false
human_wnt_beta_catenin	Wnt–β-catenin Destruction-Complex Switch	Homo sapiens	Wnt–β-catenin Destruction-Complex Switch	II	Negative feedback (homeostatic)	Without Wnt, the APC/Axin/GSK3 destruction complex degrades β-catenin; Wnt inhibits the complex so β-catenin accumulates and activates TCF/LEF targets — including Axin2, a negative-feedback brake. Switch-like in Wnt but homeostatic in topology — Class II.	The canonical Wnt pathway. The APC/Axin/GSK3 destruction complex keeps cytoplasmic β-catenin low; Wnt binding inactivates the complex, so β-catenin accumulates, enters the nucleus, and activates TCF/LEF targets such as c-Myc and Axin2. Axin2 reconstitutes the destruction complex, a negative-feedback loop that re-tunes the set-point.	Destruction-complex regulation and Axin2 negative feedback are established (Clevers & Nusse 2012; Lustig et al. 2002).	Human Class II circuit; switch-like β-catenin response with Axin2 negative feedback.	True	Curated from primary human regulatory-biology literature	human_curated	"{""and"": 0, ""not"": 1, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[Wnt ligand]
    B{Wnt present?}
    C[Destruction complex: APC/Axin/GSK3]
    D[/β-catenin degraded/]
    E[β-catenin stabilized]
    F[TCF/LEF target activation]
    G[/Axin2 reinforces destruction complex/]
    H(Targets: c-Myc, Axin2)

    A --> B
    B -->|No| C
    C --> D
    B -->|Yes| E
    E --> F
    F --> H
    F --> G
    G -->|+ feedback| C

    style A fill:#ff6b6b,color:#fff
    style B fill:#74c0fc,color:#fff
    style C fill:#ffd43b,color:#000
    style D fill:#51cf66,color:#fff
    style E fill:#ffd43b,color:#000
    style F fill:#51cf66,color:#fff
    style G fill:#51cf66,color:#fff
    style H fill:#b197fc,color:#fff"	0	true	F targets — including Axin2, a negative-feedback brake. Switch-like in Wnt but homeostatic in topology — Class II.	1	false
mouse_gata1_spi1_switch	Mouse GATA1–SPI1 Hematopoietic Switch	Mus musculus	Mouse GATA1–SPI1 Hematopoietic Switch	III	Bistable switch / positive feedback	Mouse Gata1 and Spi1 (PU.1) cross-repress and each autoactivates, giving the same persistent bistable erythroid/megakaryocyte vs. myeloid switch topology as the human ortholog — a cross-organism anchor for the universal grammar hypothesis. Class IIIa.	The mouse hematopoietic master switch. Gata1 and Spi1 antagonize each other while reinforcing their own expression, locking multipotent progenitors into either the erythroid/megakaryocyte or myeloid program. Topology is conserved with human GATA1/PU.1 despite different binding motifs.	Mutual Gata1/Spi1 antagonism and bistable lineage choice in mouse are established (Nerlov & Graf 2007; Huang et al. 2007).	Mouse Class IIIa ortholog of human GATA1/PU.1 switch — conserved bistable topology.	True	Curated from primary literature (textbook ground-truth circuit)	human_curated	"{""and"": 0, ""not"": 2, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[Mouse CMP / progenitor]
    B[Gata1]
    C[Spi1 / PU.1]
    D[\Gata1 autoactivation/]
    E[\Spi1 autoactivation/]
    F[/Gata1 represses Spi1/]
    G[/Spi1 represses Gata1/]
    H(Erythroid / megakaryocyte)
    I(Myeloid fate)

    A --> B
    A --> C
    B --> D
    D -->|+| B
    C --> E
    E -->|+| C
    B --> F
    F -->|⊣| C
    C --> G
    G -->|⊣| B
    B --> H
    C --> I

    style A fill:#ff6b6b,color:#fff
    style B fill:#ffd43b,color:#000
    style C fill:#ffd43b,color:#000
    style D fill:#51cf66,color:#fff
    style E fill:#51cf66,color:#fff
    style F fill:#51cf66,color:#fff
    style G fill:#51cf66,color:#fff
    style H fill:#b197fc,color:#fff
    style I fill:#b197fc,color:#fff"	6	false		2	false
