pmid	doi	title	authors	year	chart_ids
18408881	10.1038/nature06700	Structural basis for translation termination on the 70S ribosome	Weixlbaumer A, Jin H, Neubauer C, Voorhees RM, Petry S, Kelley AC, Ramakrishnan V	2008	ecoli_translation_elongation;ecoli_translation_termination
1840891		Budding and cell polarity in Saccharomyces cerevisiae.	Chant J	1991	yeast_yeast_cell_polarity
18434124	10.1016/j.coi.2008.03.016	Transcription factors that regulate memory in humoral responses	Calame KL	2008	human_bcl6_gc_fate_switch
18454629	10.1146/annurev.micro.62.081307.162903	ppGpp: still magical?	Potrykus K, Cashel M	2008	ecoli_stringent_response
1846779	10.1016/0092-8674(91)90238-t	Initiation of sporulation in B. subtilis is controlled by a multicomponent phosphorelay	Burbulys D, Trach KA, Hoch JA	1991	bacillus_spo0a_sporulation;bacillus_sporulation_initiation
18483484	10.1038/nrmicro1887	Coordinating assembly of a bacterial macromolecular machine	Chevance FFV, Hughes KT	2008	ecoli_flhdc_flagellar
18497818	10.1038/nature07003	RecA protein filament structure and DNA strand exchange	Chen Z, Yang H, Pavletich NP	2008	ecoli_homologous_recombination
18498744	10.1016/j.molcel.2008.04.009	Oxygen sensing by metazoans: the central role of the HIF hydroxylase pathway	Kaelin WG Jr, Ratcliffe PJ	2008	human_vhl_hif_oxygen_sensing
18505631	10.1016/j.jaci.2007.10.026	How cells die: apoptosis pathways	Chipuk JE, Green DR	2008	human_bcl2_bax_momp
18535149	10.1128/mmbr.00034-07	Regulation of RNA polymerase sigma subunit synthesis and activity	Wade JT, Struhl K	2008	ecoli_sigma_factor_competition
18626614	10.1007/s00203-008-0429-6	Regulation of bacterial metabolism by catabolite repression	Görke B, Stülke J	2008	ecoli_catabolite_repression
18633409	10.1038/nature07118	Positive feedback of G1 cyclins ensures coherent cell cycle entry	Skotheim JM, Di Talia S, Siggia ED, Cross FR	2008	yeast_whi5_sbf_start
18647627	10.1042/bsr20090031	Mechanism and regulation of protein synthesis in Escherichia coli	Rodnina MV, Wintermeyer W	2009	ecoli_translation_initiation
18724357	10.1038/nature07317	STING is an endoplasmic reticulum adaptor that facilitates innate immune signalling	Ishikawa H, Barber GN	2008	human_cgas_sting_dna_sensing
18779058	10.1016/s1937-6448(08)01003-4	Galactose metabolism in yeast - structure and regulation of the Leloir pathway enzymes and the genes encoding them	Sellick CA, Campbell RN, Reece RJ	2008	yeast_gal_regulation
18950710	10.1016/j.sbi.2008.09.006	Molecular motors of the bacterial flagella	Minamino T, Imada K, Namba K	2008	ecoli_flagellar_assembly
18957687		The molecular machinery of autophagy: unanswered questions	Xie Z	2008	yeast_autophagy
18971928	10.1038/nature07389	A fast, robust and tunable synthetic gene oscillator	Stricker J, Cookson S, Bennett MR, Mather WH, Tsimring LS, Hasty J	2008	synthetic_stricker_oscillator
19194358	10.1038/nrm2636	The GroEL-GroES chaperonin machine	Horwich AL, Fenton WA	2009	ecoli_heat_shock_response
19220742	10.1111/j.1365-2958.2008.06478.x	Termination of DNA replication in Escherichia coli	Duggin IG, Bell SD	2009	ecoli_dna_replication_termination
19245934	10.1016/s0065-2164(08)01001-8	Mechanism of the allosteric regulation of the lac repressor	Swint-Kruse L, Matthews KS	2009	ecoli_lac_operon
19286985	10.1128/ec.00014-09	The EGO complex orchestrates the response to amino acid availability	Binda M, Péli-Gulli MP, Bonfils G, Panchaud N, Urban J, Sturgill TW, Loewith R, De Virgilio C	2009	yeast_tor_signaling
19359587	10.1126/science.1172896	The structure of the ribosome with elongation factor G trapped in the posttranslocational state	Gao YG, Selmer M, Dunham CM, Weixlbaumer A, Kelley AC, Ramakrishnan V	2009	ecoli_translation_termination
19478183	10.1126/science.1172005	Synthetic gene networks that count	Friedland AE, Lu TK, Wang X, Shi D, Church G, Collins JJ	2009	synthetic_recombinase_counter
1956296	10.1111/j.1365-2958.1991.tb01893.x	The MalT-dependent transcriptional activation of the maltose regulon	Richet E, Vidal-Ingigliardi D, Raibaud O	1991	ecoli_mal_regulon
19563759	10.1016/j.cell.2009.04.048	A synthetic genetic edge detection program	Tabor JJ, Salis HM, Simpson ZB, et al.	2009	synthetic_edge_detector
19762341	10.1093/jb/mvp166	The unfolded protein response in yeast	Mori K	2009	yeast_er_stress_response
19801976	10.1038/nbt.1569	Induction of protein-protein interactions in live cells using light	Yazawa M, Sadaghiani AM, Hsueh B, Dolmetsch RE	2009	synthetic_optogenetic_toggle
19878981	10.1016/j.cell.2009.10.014	An epigenetic switch involving NF-κB, Lin28, let-7 and IL6 links inflammation to transformation	Iliopoulos D, Hirsch HA, Struhl K	2009	human_il6_stat3_inflammation
19943906	10.1111/j.1365-2958.2009.06962.x	RecN protein and transcription factor DksA combine to promote faithful recombinational repair of DNA double-strand breaks	Keyamura K, Arai K, Hishida T	2009	ecoli_dna_damage_checkpoint
19956253	10.1038/nature08533	Forcing cells to change lineages	Graf T, Enver T	2009	human_gata1_pu1_switch
20005851	10.1016/j.molcel.2009.11.018	The incoherent feedforward loop can provide fold-change detection in gene regulation	Goentoro L, Shoval O, Kirschner MW, Alon U	2009	synthetic_fold_change_detector
20018552	10.1016/j.cytogfr.2009.11.005	Dangerous liaisons: STAT3 and NF-κB collaboration and crosstalk in cancer	Grivennikov SI, Karin M	2010	human_il6_stat3_inflammation
20072126	10.1038/nature08750	Role of conserved non-coding DNA elements in the Foxp3 gene in regulatory T-cell commitment	Zheng Y, Josefowicz S, Chaudhry A, Peng XP, Forbush K, Rudensky AY	2010	human_foxp3_treg_switch
20090747	10.1038/nature08753	A synchronized quorum of genetic clocks	Danino T, Mondragón-Palomino O, Tsimring L, Hasty J	2010	synthetic_synchronized_qs_oscillator
20157337	10.1038/nrmicro2314	The bacterial replication initiator DnaA. DnaA and oriC, the bacterial replication origin	Katayama T, Ozaki S, Keyamura K, Fujimitsu K	2010	ecoli_dna_replication_initiation
20192755	10.1146/annurev-arplant-042809-112122	Abscisic acid: emergence of a core signaling network	Cutler SR, Rodriguez PL, Finkelstein RR, Abrams SR	2010	arabidopsis_aba_guard_cell
20548291	10.1038/nrg2749	CRISPR-Cas systems in bacteria and archaea	Marraffini LA, Sontheimer EJ	2010	ecoli_phage_defense
20603012	10.1016/j.cell.2010.06.028	Two to tango: regulation of mammalian iron metabolism	Hentze MW, Muckenthaler MU, Galy B, Camaschella C	2010	human_iron_irp_ire
20676094	10.1038/nsmb.1891	FtsZ filament structure reveals the structural basis for assembly dynamics and constriction force generation	Erickson HP, Anderson DE, Osawa M	2010	ecoli_cell_division
20683470	10.1038/nrm2952	Mitochondria and cell death: outer membrane permeabilization and beyond	Tait SW, Green DR	2010	human_bcl2_bax_momp
20804724	10.1016/j.bbabio.2010.08.010	The Warburg and Crabtree effects: On the origin of cancer cell energy metabolism and of yeast glucose repression	Diaz-Ruiz R, Rigoulet M, Devin A	2011	yeast_glycolysis
20926516	10.1101/cshperspect.a000299	Bacterial nanomachines: the flagellum and type III injectisome	Erhardt M, Namba K, Hughes KT	2010	ecoli_flagellar_assembly
20927566	10.1007/s00018-010-0536-y	The gap gene network	Jaeger J	2011	drosophila_gap_gene_network
21150903	10.1038/nature09565	Robust multicellular computing using genetically encoded NOR gates and chemical wires	Tamsir A, Tabor JJ, Voigt CA	2011	synthetic_consortium_logic;synthetic_nor_gate;synthetic_or_gate
21152004	10.1371/journal.pone.0015123	SCL/TAL1 is a major nuclear effector of the Notch/RBPJ pathway in thymocyte development	Lacombe MJ, Del Blanco B, Anguita E, et al.	2010	human_scl_tal1_hematopoietic_switch
21157483		Molecular mechanism and physiological functions of autophagy	Mizushima N	2011	yeast_autophagy
21258367	10.1038/ncb2152	AMPK and mTOR regulate autophagy through direct phosphorylation of Ulk1	Kim J, Kundu M, Viollet B, Guan KL	2011	human_mtor_ulk1_autophagy
21371479	10.1016/j.jmb.2011.01.018	The bacterial transcription cycle: promoter melting and open complex formation	Saecker RM, Record MT Jr, Dehaseth PL	2011	ecoli_transcription_regulation
21376230	10.1016/j.cell.2011.02.016	TOR signaling in growth and metabolism	Loewith R, Hall MN	2011	yeast_tor_signaling
21417720	10.1146/annurev-biochem-060809-095203	Regulation of the heat shock response in eukaryotes	Anckar J, Sistonen L	2011	human_hsf1_heat_shock
21427764	10.1038/nrm3062	The unfolded protein response: controlling cell fate decisions under ER stress and beyond	Walter P	2011	yeast_unfolded_protein_response
21517912		The LEE-encoded type III secretion system of enteropathogenic Escherichia coli: a model for understanding EPEC pathogenesis	Dean P	2011	ecoli_type_iii_secretion
21555549	10.1073/pnas.1015741108	Versatile RNA-sensing transcriptional regulators for engineering genetic networks	Lucks JB, Qi L, Mutalik VK, Wang D, Arkin AP	2011	synthetic_rna_attenuator
21556066	10.1038/msb.2011.20	Stimulus-dependent dynamics of p53 in single cells	Batchelor E, Loewer A, Mock C, Lahav G	2011	human_p53_mdm2
21601677	10.1016/b978-0-12-385114-7.00022-4	The unfolded protein response in yeast	Kimata Y	2011	yeast_unfolded_protein_response
2164424	10.1073/pnas.87.16.6181	Activation of the Escherichia coli SoxRS regulon by superoxide stress	Greenberg JT, Monach P, Chou JH, Josephy PD, Demple B	1990	ecoli_oxidative_stress_response
21782231	10.1016/j.cell.2011.06.041	MAVS forms functional prion-like aggregates to activate and propagate antiviral innate immune response	Hou F, Sun L, Zheng H, Skaug B, Jiang QX, Chen ZJ	2011	human_rig_i_mavs_antiviral
21785438	10.1038/nature10241	A Polycomb-based switch underlying quantitative epigenetic memory	Angel A, Song J, Dean C, Howard M	2011	arabidopsis_flc_vernalization
2182320	10.1002/j.1460-2075.1990.tb08217.x	Negative autoregulation of c-myc transcription	Penn LJ, Brooks MW, Laufer EM, Land H	1990	human_myc_autoregulation
21827746	10.1016/j.febslet.2011.07.044	DegP: a protease of protein quality control in the bacterial periplasm	Clausen T, Kaiser M, Huber R, Ehrmann M	2011	ecoli_periplasmic_stress
21858987	10.1038/nrm3173	Ribosome assembly coming into focus	Shajani Z, Sykes MT, Williamson JR	2011	ecoli_ribosome_assembly
21930698	10.1074/jbc.r111.259473	The Escherichia coli DNA polymerase III holoenzyme	McHenry CS	2011	ecoli_dna_replication_elongation
22009040	10.1038/ncomms1516	Engineering modular and orthogonal genetic logic gates for robust digital-like synthetic biology	Wang B, Kitney RI, Joly N, Buck M	2011	synthetic_and_gate
22116877	10.1126/science.1209038	The unfolded protein response: from stress pathway to homeostatic regulation	Walter P, Ron D	2011	human_ire1_xbp1_upr
22134354	10.4161/cc.10.24.18552	miR-34 and SNAIL form a double-negative feedback loop to regulate epithelial-mesenchymal transition	Siemens H, Jackstadt R, Hünten S, et al.	2011	human_snail_mir34_emt
22209905	10.1534/genetics.111.128033	The response to heat shock and oxidative stress in Saccharomyces cerevisiae.	Morano KA	2012	yeast_oxidative_stress_response
22278057	10.1038/nature10772	Extrathymically generated regulatory T cells control mucosal TH2 inflammation	Josefowicz SZ, Niec RE, Kim HY, et al.	2012	human_foxp3_treg_switch
22436748	10.1038/nrm3311	AMPK: a nutrient and energy sensor that maintains energy homeostasis	Hardie DG, Ross FA, Hawley SA	2012	human_ampk_energy_homeostat
2246066	10.1093/jn/120.suppl_1.23	OxyR: a regulator of antioxidant genes	Storz G, Tartaglia LA, Ames BN	1990	ecoli_oxidative_stress_response
22473468	10.1038/nrm3330	The functions and regulation of the PTEN tumour suppressor	Song MS, Salmena L, Pandolfi PP	2012	human_pten_pi3k_akt
22503770	10.1016/j.tig.2012.03.002	Control of RecBCD recombination pathways by the Chi sequence	Smith GR	2012	ecoli_homologous_recombination
22555442	10.1534/genetics.111.134577	Mating-type genes and MAT switching in Saccharomyces cerevisiae	Haber JE	2012	yeast_mating_type_switching
22580561	10.1038/nsmb.2269	Structure of the EnvZ osmosensor and molecular basis of signal transduction	Wang LC, Morgan LK, Godakumbura P, Kenney LJ, Anand GS	2012	ecoli_two_component_signaling
22615351	10.1073/pnas.1202344109	Rewritable digital data storage in live cells via engineered control of recombination directionality	Bonnet J, Subsoontorn P, Endy D	2012	synthetic_integrase_memory
22682243	10.1016/j.cell.2012.05.012	Wnt/β-catenin signaling and disease	Clevers H, Nusse R	2012	human_wnt_beta_catenin
22685280	10.1128/jb.00817-12	The Cpx envelope stress response is controlled by amplification and feedback inhibition	Vogt SL, Raivio TL	2012	ecoli_periplasmic_stress
22700930	10.1126/science.1218351	p53 dynamics control cell fate	Purvis JE, Karhohs KW, Mock C, et al.	2012	human_p53_apoptosis_decision
22841294	10.1016/j.str.2012.08.001	Structural dynamics of ribosome subunit association studied by mixing-spraying time-resolved cryogenic electron microscopy	Chen J, Tsai A, O'Leary SE, Petrov A, Puglisi JD	2012	ecoli_translation_initiation
22889723	10.1016/j.bbamcr.2012.04.007	The BAM complex in outer membrane protein biogenesis	Ricci DP, Silhavy TJ	2012	ecoli_outer_membrane_assembly
22992590	10.1038/nrm3434	TGFβ signalling in context	Massagué J	2012	human_tgfbeta_smad
23041931	10.1038/nature11516	Genetic programs constructed from layered logic gates in single cells	Moon TS, Lou C, Tamsir A, Stanton BC, Voigt CA	2012	synthetic_three_input_and
23044417	10.1016/j.bbrc.2012.09.136	Defective ER associated degradation of a model luminal substrate in yeast carrying a mutation in the 4th ER luminal loop of Sec61p.	Wheeler MC	2012	yeast_yeast_er_associated_degradation
23151663	10.1038/nrm3468	Mechanisms of ubiquitin-proteasome system regulation and substrate recognition	Finley D, Ulrich HD, Sommer T, Kaiser P	2012	yeast_ubiquitin_proteasome
23258413	10.1126/science.1232458	Cyclic GMP-AMP synthase is a cytosolic DNA sensor that activates the type I interferon pathway	Sun L, Wu J, Du F, Chen X, Chen ZJ	2013	human_cgas_sting_dna_sensing
23306555	10.1038/cdd.2012.155	A threshold mechanism mediates p53 cell fate decision between growth arrest and apoptosis	Kracikova M, Akiri G, George A, Sachidanandam R, Aaronson SA	2013	human_p53_apoptosis_decision
23396014	10.1038/nbt.2510	Synthetic circuits integrating logic and memory in living cells	Siuti P, Yazbek J, Lu TK	2013	synthetic_integrase_memory
23500459	10.1016/j.plipres.2013.02.002	Bacterial lipids: metabolism and membrane homeostasis	Parsons JB, Rock CO	2013	ecoli_fatty_acid_synthesis
23539178	10.1126/science.1232758	Amplifying genetic logic gates	Bonnet J, Yin P, Ortiz ME, Subsoontorn P, Endy D	2013	synthetic_xor_gate
23590490	10.1146/annurev-micro-092412-155607	Regulation of RNA polymerase by ppGpp and DksA	Ross W, Vrentas CE, Sanchez-Vazquez P, Gaal T, Gourse RL	2013	ecoli_stringent_response
23719536	10.1038/nrm3598	The mechanisms of Hedgehog signalling and its roles in development and disease	Briscoe J, Thérond PP	2013	human_shh_gli
23890179	10.1016/j.cell.2013.06.044	CRISPR-mediated modular RNA-guided regulation of transcription in eukaryotes	Gilbert LA, Larson MH, Morsut L, Liu Z, Brar GA, Torres SE, Stern-Ginossar N, Brandman O, Whitehead EH, Doudna JA, Lim WA, Weissman JS, Qi LS	2013	synthetic_crispra_layered_logic
23972859	10.1016/j.bpj.2013.07.011	Coupled reversible and irreversible bistable switches underlying TGF-β-induced EMT	Tian XJ, Zhang H, Xing J	2013	human_emt_zeb_mir200
23979428	10.1038/nrmicro3103	Biofilm formation in Bacillus subtilis	Vlamakis H, Chai Y, Beauregard P, Losick R, Kolter R	2013	bacillus_biofilm_formation
24154725	10.1073/pnas.1318192110	MicroRNA-based regulation of epithelial-hybrid-mesenchymal fate determination	Lu M, Jolly MK, Levine H, Onuchic JN, Ben-Jacob E	2013	human_emt_zeb_mir200
24267450	10.1016/j.molcel.2013.10.020	The bacterial replisome: back on track?	Robinson A, van Oijen AM	2013	ecoli_dna_replication_elongation
24362405	10.1038/nri3581	Regulation of type I interferon responses	Ivashkiv LB, Donlin LT	2014	human_irf7_interferon_amplifier
24509820	10.1038/nchembio.1437	Ubiquinone accumulation improves osmotic-stress tolerance in Escherichia coli.	Sévin DC	2014	ecoli_e._coli_osmotic_stress_response
24630722	10.1016/j.cell.2014.02.008	Unified polymerization mechanism for the assembly of ASC-dependent inflammasomes	Lu A, Magupalli VG, Ruan J, et al.	2014	human_nlrp3_inflammasome
24630723	10.1016/j.cell.2014.01.063	Prion-like polymerization underlies signal transduction in antiviral immune defense and inflammasome activation	Cai X, Chen J, Xu H, et al.	2014	human_nlrp3_inflammasome
24947454	10.1038/ncomms5115	Nitrogen stress response and stringent response are coupled in Escherichia coli.	Brown DR	2014	ecoli_e._coli_stringent_response
25002086		Type III secretion systems: bacterial nanomachines for protein delivery into target cells	Galán JE	2014	ecoli_type_iii_secretion
25032908	10.1016/j.copbio.2014.06.018	Protein folding and secretion: mechanistic insights advancing recombinant protein production in S. cerevisiae.	Young CL	2014	yeast_protein_folding
25081213	10.1093/nar/gku635	Sigma factor selectivity of Escherichia coli RNA polymerase	Mauri M, Klumpp S	2014	ecoli_rna_polymerase_recycling
25313164	10.1088/1478-3975/11/5/056007	Sigma factor competition: a mechanism for bacterial adaptation	Mauri M, Klumpp S	2014	ecoli_sigma_factor_competition
2536713		DnaB helicase activation: the role of DnaC and DNA	Wahle E, Lasken RS, Kornberg A	1989	ecoli_dna_replication_initiation
25395541	10.1126/science.1256272	Genomically encoded analog memory with precise in vivo DNA writing in living cell populations	Farzadfard F, Lu TK	2014	synthetic_crispr_recorder
25417166	10.1016/j.cell.2014.10.002	Toehold switches: de-novo-designed regulators of gene expression	Green AA, Silver PA, Collins JJ, Yin P	2014	synthetic_toehold_riboregulator
25452175	10.1016/j.cbi.2014.10.016	Free radicals, reactive oxygen species, oxidative stress and its classification.	Lushchak VI	2014	yeast_oxidative_stress_response
2546677	10.1016/0092-8674(89)90838-6	Positive autoregulation of the myogenic determination gene MyoD1	Thayer MJ, Tapscott SJ, Davis RL, Wright WE, Lassar AB, Weintraub H	1989	human_myod_myogenesis
25487021	10.1007/978-3-319-11731-7_8	Chaperonin-co-chaperonin interactions.	Boshoff A	2015	ecoli_protein_folding_chaperones
25585159	10.1038/nrm3934	The pentose phosphate pathway	Stincone A, Prigione A, Cramer T, et al.	2015	ecoli_pentose_phosphate_pathway
25655354	10.1016/j.bbapap.2015.01.013	On the mechanism of Escherichia coli pyridoxal kinase inhibition by pyridoxal and pyridoxal 5'-phosphate.	di Salvo ML	2015	ecoli_phosphate_regulation
25730490	10.1038/nmeth.3312	Highly efficient Cas9-mediated transcriptional programming	Chavez A, Scheiman J, Vora S, Pruitt BW, Tuttle M, E PRI E, Lin S, Kiani S, Guzman CD, Wiegand DJ, Ter-Ovanesyan D, Braff JL, Davidsohn N, Housden BE, Perrimon N, Weiss R, Aach J, Collins JJ, Church GM	2015	synthetic_crispra_layered_logic
25737124	10.4014/jmb.1412.12079	Production of Biopharmaceuticals in E. coli: Current Scenario and Future Perspectives.	Baeshen MN	2015	ecoli_protein_folding_chaperones
25741323	10.3389/fmicb.2015.00478	The Min system and other nucleoid-independent regulators of Z ring positioning	Rowlett VW, Margolin W	2015	ecoli_cell_division
25793961		Structure and assembly of the bacterial type III secretion machine	Diepold A	2015	ecoli_type_iii_secretion
25853779	10.1038/nrmicro3449	Structural basis of ppGpp riboswitch function	Hauryliuk V, Atkinson GC, Murakami KS, Tenson T, Gerdes K	2015	ecoli_stringent_response
25983732	10.3389/fmicb.2015.00402	The Pho regulon: a huge regulatory network in bacteria	Santos-Beneit F	2015	ecoli_pho_regulon
26104364	10.1128/microbiolspec.mdna3-0013-2014	Mechanisms and regulation of mating-type switching in Saccharomyces cerevisiae	Haber JE	2012	yeast_mating_response
26350459	10.1074/jbc.r115.662783	Bacterial replication initiation: DnaA protein controls oriC	Leonard AC, Grimwade JE	2015	ecoli_dna_replication_initiation
26437435	10.3390/biom5042107	The mitochondrial protein import machinery	Endo T	2015	yeast_mitochondrial_import
26443764	10.1128/ecosalplus.5.4.5	Osmotic Stress.	Altendorf K	2009	ecoli_e._coli_osmotic_stress_response
26443778	10.1128/ecosalplus.3.6.2.1	Sulfur metabolism in Escherichia coli	Kredich NM	2008	ecoli_sulfur_metabolism
26517598		Bacterial resistance in biofilm-associated bacteria	Jamal M	2015	ecoli_biofilm_formation;ecoli_quorum_sensing
26544935	10.1016/j.cell.2015.10.044	The Hippo pathway: regulators and regulations	Yu FX, Zhao B, Guan KL	2015	human_hippo_yap
2676517		Membrane protein sorting: biosynthesis, transport and processing of yeast vacuolar alkaline phosphatase.	Klionsky DJ	1989	yeast_yeast_vacuolar_protein_sorting
26840489	10.1038/nature16966	SEDS proteins are a widespread family of bacterial cell wall polymerases	Meeske AJ, Riley EP, Robins WP, Uehara T, Mekalanos JJ, Kahne D, Walker S, Kruse AC, Bernhardt TG, Rudner DZ	2016	ecoli_cell_division
26925399	10.3389/fbioe.2016.00017	Genome-Wide Transcriptional Response of Saccharomyces cerevisiae to Stress-Induced Perturbations.	Taymaz-Nikerel H	2016	yeast_osmotic_stress_response
2699410	10.1111/j.1574-6968.1989.tb03709.x	Mixed-acid fermentation in Escherichia coli	Clark DP	1989	ecoli_glycolysis
27034378	10.1126/science.aac7341	Genetic circuit design automation	Nielsen AAK, Der BS, Shin J, et al.	2016	synthetic_layered_nor_cascade
27065163	10.1002/cphy.c150015	Regulation of the hypothalamic-pituitary-adrenocortical stress response	Herman JP, McKlveen JM, Ghosal S, et al.	2016	human_glucocorticoid_hpa_axis
27074666	10.7554/elife.13684	Recycling of the RNA polymerase in Escherichia coli	Harden TT, Wells CD, Friedman LJ, Landick R, Hochschild A, Kondev J, Gelles J	2016	ecoli_rna_polymerase_recycling
27085703	10.1007/s00018-016-2220-3	The final cut: cell polarity meets cytokinesis at the bud neck in S. cerevisiae.	Juanes MA	2016	yeast_yeast_cell_polarity
27136686	10.1016/j.cels.2016.01.004	Antithetic integral feedback ensures robust perfect adaptation in noisy biomolecular networks	Briat C, Gupta A, Khammash M	2016	synthetic_antithetic_integral_feedback
27226568	10.1074/jbc.m116.717488	Regulation of Vacuolar H+-ATPase (V-ATPase) Reassembly by Glycolysis Flow in 6-Phosphofructo-1-kinase (PFK-1)-deficient Yeast Cells.	Chan CY	2016	yeast_yeast_glycolysis_regulation
27434674	pii: e17029. 10.7554/elife.17029	Ribosome•RelA structures reveal the mechanism of stringent response activation.	Loveland AB	2016	ecoli_e._coli_stringent_response
27463678	10.1126/science.aad8559	Synthetic recombinase-based state machines in living cells	Roquet N, Soleimany AP, Ferris AC, Aaronson S, Lu TK	2016	synthetic_recombinase_counter
27493186	10.1126/science.aaf8993	Structure of the yeast 26S proteasome at 3.6 Angstrom resolution	Luan B, Huang X, Wu J, Mei Z, Wang Y, Xue X, Yan C, Wang J, Finley DJ, Shi Y, Wang F	2016	yeast_ubiquitin_proteasome
27620723		Iron Homeostasis Regulates the Genotoxicity of Escherichia coli That Produces Colibactin.	Tronnet S	2016	ecoli_iron_homeostasis
27732583	10.1038/nature19841	Synchronous long-term oscillations in a synthetic gene circuit	Potvin-Trottier L, Lord ND, Vinnicombe G, Paulsson J	2016	synthetic_5node_repressilator
27757702	10.1007/s10482-016-0781-7	Increasing dissolved-oxygen disrupts iron homeostasis in production cultures of Escherichia coli.	Baez A	2017	ecoli_iron_homeostasis
28241148	10.1038/nature21695	Cytosolic proteostasis through importing of misfolded proteins into mitochondria.	Ruan L	2017	yeast_heat_shock_response;yeast_protein_folding
28283059	10.1016/j.cell.2017.02.027	Stress-Triggered Phase Separation Is an Adaptive, Evolutionarily Tuned Response.	Riback JA	2017	yeast_heat_shock_response
28283069	10.1016/j.cell.2017.02.004	mTOR signaling in growth, metabolism, and disease	Saxton RA, Sabatini DM	2017	human_mtorc1_nutrient
28301741	10.1146/annurev-biochem-061516-044716	The mechanism of Rho-dependent transcription termination	Mitra P, Ghosh G, Hafeezunnisa M, Sen R	2017	ecoli_rna_polymerase_recycling
28408482	10.1042/bst20160367	Small regulatory bacterial RNAs regulating the envelope stress response.	Klein G	2017	ecoli_envelope_stress_response
28409300	10.1007/978-3-319-53150-2_3	Intrinsic and Extrinsic Determinants Linking Spindle Pole Fate, Spindle Polarity, and Asymmetric Cell Division in the Budding Yeast S. cerevisiae.	Geymonat M	2017	yeast_yeast_cell_polarity
28431241	10.1016/j.cell.2017.04.001	AKT/PKB signaling: navigating the network	Manning BD, Toker A	2017	human_akt_foxo_insulin
2844115		Redistribution of phosphate pools and the regulation of Escherichia coli adenylate cyclase activity.	Peterkofsky A	1988	ecoli_phosphate_regulation
28526819	10.1038/ncomms15459	Digital logic circuits in yeast with CRISPR-dCas9 NOR gates	Gander MW, Vrana JD, Voje WE, Carothers JM, Klavins E	2017	synthetic_dcas9_logic
28721857	10.1128/microbiolspec.funk-0048-201610.1128/microbiolspec.funk-0048-2016	Stress Adaptation.	Brown AJP	2017	yeast_heat_shock_response
28782202	10.1002/bies.201700050	Evolution of peroxisomes illustrates symbiogenesis.	Speijer D	2017	yeast_yeast_peroxisome_biogenesis
28986375	10.1128/aem.01636-17	Stringent Response Regulators Contribute to Recovery from Glucose Phosphate Stress in Escherichia coli.	Kessler JR	2017	ecoli_e._coli_stringent_response
28990585	10.1038/nri.2017.108	The diverse functions of the PD1 inhibitory pathway	Sharpe AH, Pauken KE	2018	human_pd1_pdl1_checkpoint
29578536	10.1038/nmeth.4635	Burden-driven feedback control of gene expression	Ceroni F, Boo A, Furini S, et al.	2018	synthetic_burden_feedback_controller
29719269	10.1016/j.ceb.2018.04.004	Mechanistic insights into ER-associated protein degradation.	Wu X	2018	yeast_yeast_er_associated_degradation
2981804		Phosphate-specific transport system of Escherichia coli: nucleotide sequence and gene-polypeptide relationships	Surin BP, Rosenberg H, Cox GB	1985	ecoli_pho_regulon
30069936	10.1111/mmi.14092	Autonomous control mechanism of stator assembly in the bacterial flagellar motor in response to changes in the environment.	Minamino T	2018	ecoli_e._coli_flagellar_assembly
30244972	10.1016/j.cmet.2018.07.012	The protein import machinery of mitochondria-a regulatory hub in metabolism, stress, and disease	Pfanner N	2019	yeast_mitochondrial_import
3036372	10.1016/0092-8674(87)90221-2	Timing of DnaA protein-controlled initiation of DNA replication in E. coli	Sekimizu K, Bramhill D, Kornberg A	1987	ecoli_dna_replication_initiation
30378032	10.1007/978-981-13-2233-4_16	Characterization of Peroxisomal Regulation Networks.	Mast FD	2018	yeast_yeast_peroxisome_biogenesis
30487609	10.1038/s41586-018-0749-z	Metabolic reprogramming by the S-nitroso-CoA reductase system protects against kidney injury.	Zhou HL	2019	yeast_yeast_glycolysis_regulation
3054468	10.1128/mr.52.4.452-469.1988	The ArcA two-component signal transduction system regulates Escherichia coli metabolism during anaerobic growth	Iuchi S, Lin EC	1988	ecoli_anaerobic_respiration
3070323		Life cycle of the budding yeast Saccharomyces cerevisiae	Herskowitz I	1988	yeast_mating_type_switching
30971490	10.1073/pnas.1903846116	Mechanism of transcription termination by E. coli RNA polymerase	Roberts JW	2019	ecoli_rna_polymerase_recycling
31217585	10.1038/s41586-019-1321-1	A universal biomolecular integral feedback controller for robust perfect adaptation	Aoki SK, Lillacci G, Gupta A, Baumschlager A, Schweingruber D, Khammash M	2019	synthetic_antithetic_integral_feedback
31235960	10.1038/s41564-019-0496-4	Plasmid-encoded tet(X) genes that confer high-level tigecycline resistance in Escherichia coli.	Sun J	2019	ecoli_antibiotic_efflux_pumps
31266875	10.1128/mbio.01330-19	The Stringent Response Inhibits DNA Replication Initiation in E. coli by Modulating Supercoiling of oriC.	Kraemer JA	2019	ecoli_e._coli_stringent_response
31302002	10.1016/j.molcel.2019.07.011	Single-nucleotide-resolution computing and memory in living cells (DOMINO)	Farzadfard F, Gharaei N, Higashikuni Y, et al.	2019	synthetic_crispr_recorder
32127452	10.1128/mbio.02930-19	Emergence of a Plasmid-Encoded Resistance-Nodulation-Division Efflux Pump Conferring Resistance to Multiple Drugs, Including Tigecycline, in Klebsiella pneumoniae.	Lv L	2020	ecoli_antibiotic_efflux_pumps
